index,transliteration,word
G0420,anexikakos,ἀνεξίκακος
G0421,anexichniastos,ἀνεξιχνίαστος
G0422,anepaischuntos,ἀνεπαίσχυντος
G0423,"anepileptos, anepilemptos","ἀνεπίληπτος, ἀνεπίλημπτος"
G0424,anerchomai,ἀνέρχομαι
G0425,anesis,ἄνεσις
G0426,anetazo,ἀνετάζω
G0427,aneu,ἄνευ
G0428,aneuthetos,ἀνεύθετος
G0429,aneurisko,ἀνευρίσκω
G0430,"anecho, anechomai","ἀνέχω, ἀνέχομαι"
G0431,anepsios,ἀνέψιος
G0432,anethon,ἄνηθον
G0433,aneko,ἀνήκω
G0434,anemeros,ἀνήμερος
G0435,aner,ἀνήρ
G0436,anthistemi,ἀνθίστημι
G0437,anthomologeomai,ἀνθομολογέομαι
G0438,anthos,ἄνθος
G0439,anthrakia,ἀνθρακιά
G0440,anthrax,ἄνθραξ
G0441,anthropareskos,ἀνθρωπάρεσκος
G0442,anthropinos,ἀνθρώπινος
G0443,anthropoktonos,ἀνθρωποκτόνος
G0444,anthropos,ἄνθρωπος
G0446,anthupatos,ἀνθύπατος
G0447,aniemi,ἀνίημι
G0449,aniptos,ἄνιπτος
G0450,anistemi,ἀνίστημι
G0451,Anna,Ἄννα
G0452,Annas,Ἄννας
G0453,anoetos,ἀνόητος
G0454,anoia,ἄνοια
G0455,anoigo,ἀνοίγω
G0456,anoikodomeo,ἀνοικοδομέω
G0457,anoixis,ἄνοιξις
G0458,anomia,ἀνομία
G0459,anomos,ἄνομος
G0460,anomos,ἀνόμως
G0461,anorthoo,ἀνορθόω
G0462,anosios,ἀνόσιος
G0463,anoche,ἀνοχή
G0464,antagonizomai,ἀνταγωνίζομαι
G0465,antallagma,ἀντάλλαγμα
G0466,antanapleroo,ἀνταναπληρόω
G0467,antapodidomi,ἀνταποδίδωμι
G0468,antapodoma,ἀνταπόδομα
G0469,antapodosis,ἀνταπόδοσις
G0470,antapokrinomai,ἀνταποκρίνομαι
G0472,antechomai,ἀντέχομαι
G0473,anti,ἀντί
G0474,antiballo,ἀντιβάλλω
G0475,antidiatithemai,ἀντιδιατίθεμαι
G0476,antidikos,ἀντίδικος
G0477,antithesis,ἀντίθεσις
G0478,antikathistemi,ἀντικαθίστημι
G0479,antikaleo,ἀντικαλέω
G0480,antikeimai,ἀντίκειμαι
G0481,antikru,ἀντικρύ
G0482,antilambanomai,ἀντιλαμβάνομαι
G0483,antilego,ἀντίλεγω
G0484,antilepsis,ἀντίληψις
G0485,antilogia,ἀντιλογία
G0486,antiloidoreo,ἀντιλοιδορέω
G0487,antilutron,ἀντίλυτρον
G0488,antimetreo,ἀντιμετρέω
G0489,antimisthia,ἀντιμισθία
G0490,Antiocheia,Ἀντιόχεια
G0491,Antiocheus,Ἀντιοχεύς
G0492,antiparerchomai,ἀντιπαρέρχομαι
G0493,Antipas,Ἀντίπας
G0494,Antipatris,Ἀντιπατρίς
G0495,antiperan,ἀντιπέραν
G0496,antipipto,ἀντιπίπτω
G0497,antistrateuomai,ἀντιστρατεύομαι
G0498,antitasso,ἀντιτάσσω
G0499,antitupon,ἀντίτυπον
G0500,antichristos,ἀντίχριστος
G0501,antleo,ἀντλέω
G0502,antlema,ἄντλημα
G0503,antophthalmeo,ἀντοφθαλμέω
G0504,anudros,ἄνυδρος
G0505,anupokritos,ἀνυπόκριτος
G0506,anupotaktos,ἀνυπότακτος
G0507,ano,ἄνω
G0508,anogeon,ἀνώγεον
G0509,anothen,ἄνωθεν
G0510,anoterikos,ἀνωτερικός
G0511,anoteros,ἀνώτερος
G0512,anopheles,ἀνωφέλες
G0513,axine,ἀξίνη
G0514,axios,ἄξιος
G0515,axioo,ἀξιόω
G0516,axios,ἀξίως
G0517,aoratos,ἀόρατος
G0518,apaggello,ἀπαγγέλλω
G0519,apagchomai,ἀπάγχομαι
G0520,apago,ἀπάγω
G0521,apaideutos,ἀπαίδευτος
G0522,apairo,ἀπαίρω
G0523,apaiteo,ἀπαιτέω
G0524,apalgeo,ἀπαλγέω
G0525,apallasso,ἀπαλλάσσω
G0526,apallotrioo,ἀπαλλοτριόω
G0527,hapalos,ἁπαλός
G0528,apantao,ἀπαντάω
G0529,apantesis,ἀπάντησις
G0530,hapax,ἅπαξ
G0531,aparabatos,ἀπαράβατος
G0532,aparaskeuastos,ἀπαρασκεύαστος
G0533,aparneomai,ἀπαρνέομαι
G0534,aparti,ἀπάρτι
G0535,apartismos,ἀπαρτισμός
G0536,aparche,ἀπαρχή
G0537,hapas,ἅπας
G0537a,apaspazomai,ἀπασπάζομαι
G0538,apatao,ἀπατάω
G0539,apate,ἀπάτη
G0540,apator,ἀπάτωρ
G0541,apaugasma,ἀπαύγασμα
G0543,apeitheia,ἀπείθεια
G0544,apeitheo,ἀπειθέω
G0545,apeithes,ἀπειθής
G0546,apeileo,ἀπειλέω
G0547,apeile,ἀπειλή
G0548,apeimi,ἄπειμι
G0549,apeimi,ἄπειμι
G0550,apeipon,ἀπεῖπον
G0551,apeirastos,ἀπείραστος
G0552,apeiros,ἄπειρος
G0553,apekdechomai,ἀπεκδέχομαι
G0554,apekduomai,ἀπεκδύομαι
G0555,apekdusis,ἀπέκδυσις
G0556,apelauno,ἀπελαύνω
G0557,apelegmos,ἀπελεγμός
G0558,apeleutheros,ἀπελεύθερος
G0559,Apelles,Ἀπελλῆς
G0560,apelpizo,ἀπελπίζω
G0561,apenanti,ἀπέναντι
G0562,aperantos,ἀπέραντος
G0563,aperispastos,ἀπερισπάστως
G0564,aperitmetos,ἀπερίτμητος
G0565,aperchomai,ἀπέρχομαι
G0566,apechei,ἀπέχει
G0568,apecho,ἀπέχω
G0569,apisteo,ἀπιστέω
G0570,apistia,ἀπιστία
G0571,apistos,ἄπιστος
G0572,haplotes,ἁπλότης
G0573,haplous,ἁπλοῦς
G0574,haplos,ἁπλῶς
G0575,apo,ἀπό
G0576,apobaino,ἀποβαίνω
G0577,apoballo,ἀποβάλλω
G0578,apoblepo,ἀποβλέπω
G0579,apobletos,ἀπόβλητος
G0580,apobole,ἀποβολή
G0581,apogenomenos,ἀπογενόμενος
G0582,apographe,ἀπογραφή
G0583,apographo,ἀπογράφω
G0584,apodeiknumi,ἀποδείκνυμι
G0585,apodeixis,ἀπόδειξις
G0586,apodekatoo,ἀποδεκατόω
G0587,apodektos,ἀπόδεκτος
G0588,apodechomai,ἀποδέχομαι
G0589,apodemeo,ἀποδημέω
G0590,apodemos,ἀπόδημος
G0591,apodidomi,ἀποδίδωμι
G0592,apodiorizo,ἀποδιορίζω
G0593,apodokimazo,ἀποδοκιμάζω
G0594,apodoche,ἀποδοχή
G0595,apothesis,ἀπόθεσις
G0596,apotheke,ἀποθήκη
G0597,apothesaurizo,ἀποθησαυρίζω
G0598,apothlibo,ἀποθλίβω
G0599,apothnesko,ἀποθνήσκω
G0600,apokathistemi,ἀποκαθίστημι
G0601,apokalupto,ἀποκαλύπτω
G0602,apokalupsis,ἀποκάλυψις
G0603,apokaradokia,ἀποκαραδοκία
G0604,apokatallasso,ἀποκαταλλάσσω
G0605,apokatastasis,ἀποκατάστασις
G0606,apokeimai,ἀπόκειμαι
G0607,apokephalizo,ἀποκεφαλίζω
G0608,apokleio,ἀποκλείω
G0609,apokopto,ἀποκόπτω
G0610,apokrima,ἀπόκριμα
G0611,apokrinomai,ἀποκρίνομαι
G0612,apokrisis,ἀπόκρισις
G0613,apokrupto,ἀποκρύπτω
G0614,apokruphos,ἀπόκρυφος
G0615,apokteino,ἀποκτείνω
G0616,apokueo,ἀποκυέω
G0617,apokulio,ἀποκυλίω
G0618,apolambano,ἀπολαμβάνω
G0619,apolausis,ἀπόλαυσις
G0620,apoleipo,ἀπολείπω
G0622,apollumi,ἀπόλλυμι
G0623,Apolluon,Ἀπολλύων
G0624,Apollonia,Ἀπολλωνία
G0625,Apollos,Ἀπολλώς
G0626,apologeomai,ἀπολογέομαι
G0627,apologia,ἀπολογία
G0628,apolouo,ἀπολούω
G0629,apolutrosis,ἀπολύτρωσις
G0630,apoluo,ἀπολύω
G0631,apomassomai,ἀπομάσσομαι
G0632,aponemo,ἀπονέμω
G0633,aponipto,ἀπονίπτω
G0634,apopipto,ἀποπίπτω
G0635,apoplanao,ἀποπλανάω
G0636,apopleo,ἀποπλέω
G0638,apopnigo,ἀποπνίγω
G0639,aporeo,ἀπορέω
G0640,aporia,ἀπορία
G0641,"aporipto, aporripto","ἀπορίπτω, ἀπορρίπτω"
G0642,aporphanizo,ἀπορφανίζω
G0644,aposkiasma,ἀποσκίασμα
G0645,apospao,ἀποσπάω
G0646,apostasia,ἀποστασία
G0647,apostasion,ἀποστάσιον
G0648,apostegazo,ἀποστεγάζω
G0649,apostello,ἀποστέλλω
G0650,apostereo,ἀποστερέω
G0651,apostole,ἀποστολή
G0652,apostolos,ἀπόστολος
G0653,apostomatizo,ἀποστοματίζω
G0654,apostrepho,ἀποστρέφω
G0655,apostugeo,ἀποστυγέω
G0656,aposunagogos,ἀποσυνάγωγος
G0657,apotassomai,ἀποτάσσομαι
G0658,apoteleo,ἀποτελέω
G0659,apotithemi,ἀποτίθημι
G0660,apotinasso,ἀποτινάσσω
G0661,apotino,ἀποτίνω
G0662,apotolmao,ἀποτολμάω
G0663,apotomia,ἀποτομία
G0664,apotomos,ἀποτόμως
G0665,apotrepo,ἀποτρέπω
G0666,apousia,ἀπουσία
G0667,apophero,ἀποφέρω
G0668,apopheugo,ἀποφεύγω
G0669,apophtheggomai,ἀποφθέγγομαι
G0670,apophortizomai,ἀποφορτίζομαι
G0671,apochresis,ἀπόχρησις
G0672,apochoreo,ἀποχωρέω
G0673,apochorizo,ἀποχωρίζω
G0674,apopsucho,ἀποψύχω
G0675,Appios,Ἄππιος
G0676,aprositos,ἀπρόσιτος
G0677,aproskopos,ἀπρόσκοπος
G0678,aprosopoleptos,ἀπροσωπολήπτως
G0679,aptaistos,ἄπταιστος
G0681,hapto,ἅπτω
G0682,Apphia,Ἀπφία
G0683,"apotheo, apotheomai","ἀπωθέω, ἀπωθέομαι"
G0684,apoleia,ἀπώλεια
G0685,ara,ἀρά
G0686,ara,ἄρα
G0687,ara,ὰρα
G0688,Arabia,Ἀραβία
G0689,Aram,Ἀράμ
G0690,Araps,Ἄραψ
G0691,argeo,ἀργέω
G0692,argos,ἀργός
G0693,argureos,ἀργύρεος
G0694,argurion,ἀργύριον
G0695,argurokopos,ἀργυροκόπος
G0696,arguros,ἄργυρος
G0697,Areios Pagos,Ἄρειος Πάγος
G0698,Areopagites,Ἀρεοπαγίτης
G0699,areskeia,ἀρέσκεια
G0700,aresko,ἀρέσκω
G0701,arestos,ἀρεστός
G0702,Aretas,Ἀρέτας
G0703,arete,ἀρέτη
G0704,aren,ἀρήν
G0705,arithmeo,ἀριθμέω
G0706,arithmos,ἀριθμός
G0707,Arimathaia,Ἀριμαθαία
G0708,Aristarchos,Ἀρίσταρχος
G0709,aristao,ἀριστάω
G0710,aristeros,ἀριστερός
G0711,Aristoboulos,Ἀριστόβουλος
G0712,ariston,ἄριστον
G0713,arketos,ἀρκετός
G0714,arkeo,ἀρκέω
G0715,"arkos, arktos","ἄρκος, ἄρκτος"
G0716,harma,ἅρμα
G0717,Armageddon,Ἀρμαγεδδών
G0718,harmozo,ἁρμόζω
G0719,harmos,ἁρμός
G0720,arneomai,ἀρνέομαι
G0720a,Arni,Ἀρνί
G0721,arnion,ἀρνίον
G0722,arotrioo,ἀροτριόω
G0723,arotron,ἄροτρον
G0724,harpage,ἁρπαγή
G0725,harpagmos,ἁρπαγμός
G0726,harpazo,ἁρπάζω
G0727,harpax,ἅρπαξ
G0728,arrhabon,ἀῤῥαβών
G0729,"araphos, arraphos","ἄραφος, ἄρραφος"
G0730,"arrhen, arsen","ἄῤῥην, ἄρσην"
G0731,arrhetos,ἄῤῥητος
G0732,arrhostos,ἄῤῥωστος
G0733,arsenokoites,ἀρσενοκοίτης
G0734,Artemas,Ἀρτεμάς
G0735,Artemis,Ἄρτεμις
G0736,artemon,ἀρτέμων
G0737,arti,ἄρτι
G0738,artigennetos,ἀρτιγέννητος
